Number of columns/X steps: 15
Number of rows/Y steps: 12
Total number of photos: 180
Focus exposure speed: 1191
Focus AWB gains: (Fraction(893, 256), Fraction(193, 128))
Position 'a' exposure speed: 1221
Position 'a' AWB gains: (Fraction(893, 256), Fraction(193, 128))
Position 'b' exposure speed: 1342
Position 'b' AWB gains: (Fraction(221, 64), Fraction(195, 128))
Position 'c' exposure speed: 1175
Position 'c' AWB gains: (Fraction(449, 128), Fraction(3, 2))
Position 'd' exposure speed: 1160
Position 'd' AWB gains: (Fraction(903, 256), Fraction(381, 256))
Min exposure speed set: 1160
Camera ISO value set: 50
WARNING! CAMERA SETTINGS OVERRIDE, gains set to (Fraction(731, 256), Fraction(131, 64))
Location of picture 1000 is at X= 0800 and Y= 1850
Location of picture 1001 is at X= 0800 and Y= 1782
Location of picture 1002 is at X= 0800 and Y= 1714
Location of picture 1003 is at X= 0800 and Y= 1646
Location of picture 1004 is at X= 0800 and Y= 1578
Location of picture 1005 is at X= 0800 and Y= 1510
Location of picture 1006 is at X= 0800 and Y= 1442
Location of picture 1007 is at X= 0800 and Y= 1374
Location of picture 1008 is at X= 0800 and Y= 1306
Location of picture 1009 is at X= 0800 and Y= 1238
Location of picture 1010 is at X= 0800 and Y= 1170
Location of picture 1011 is at X= 0800 and Y= 1102
Location of picture 1012 is at X= 0889 and Y= 1850
Location of picture 1013 is at X= 0889 and Y= 1782
Location of picture 1014 is at X= 0889 and Y= 1714
Location of picture 1015 is at X= 0889 and Y= 1646
Location of picture 1016 is at X= 0889 and Y= 1578
Location of picture 1017 is at X= 0889 and Y= 1510
Location of picture 1018 is at X= 0889 and Y= 1442
Location of picture 1019 is at X= 0889 and Y= 1374
Location of picture 1020 is at X= 0889 and Y= 1306
Location of picture 1021 is at X= 0889 and Y= 1238
Location of picture 1022 is at X= 0889 and Y= 1170
Location of picture 1023 is at X= 0889 and Y= 1102
Location of picture 1024 is at X= 0978 and Y= 1850
Location of picture 1025 is at X= 0978 and Y= 1782
Location of picture 1026 is at X= 0978 and Y= 1714
Location of picture 1027 is at X= 0978 and Y= 1646
Location of picture 1028 is at X= 0978 and Y= 1578
Location of picture 1029 is at X= 0978 and Y= 1510
Location of picture 1030 is at X= 0978 and Y= 1442
Location of picture 1031 is at X= 0978 and Y= 1374
Location of picture 1032 is at X= 0978 and Y= 1306
Location of picture 1033 is at X= 0978 and Y= 1238
Location of picture 1034 is at X= 0978 and Y= 1170
Location of picture 1035 is at X= 0978 and Y= 1102
Location of picture 1036 is at X= 1067 and Y= 1850
Location of picture 1037 is at X= 1067 and Y= 1782
Location of picture 1038 is at X= 1067 and Y= 1714
Location of picture 1039 is at X= 1067 and Y= 1646
Location of picture 1040 is at X= 1067 and Y= 1578
Location of picture 1041 is at X= 1067 and Y= 1510
Location of picture 1042 is at X= 1067 and Y= 1442
Location of picture 1043 is at X= 1067 and Y= 1374
Location of picture 1044 is at X= 1067 and Y= 1306
Location of picture 1045 is at X= 1067 and Y= 1238
Location of picture 1046 is at X= 1067 and Y= 1170
